date,open,high,low,close,C-O,volume,SMA7,profit or not
"3,2,2022",173.7615,175.5141,171.4112,172.188,-1.5735,86758023,168.9257571,1
"4,2,2022",171.1912,173.6043,170.194,171.8992,0.708,82465400,170.7638714,0
"7,2,2022",172.3678,173.4505,170.4633,171.1712,-1.1966,72835504,172.5648571,1
"8,2,2022",171.241,174.8507,170.9419,174.3322,3.0912,73442183,173.2368,0
"9,2,2022",175.5487,176.147,174.402,175.7781,0.2294,66537400,173.4822143,0
"10,2,2022",173.6442,174.9804,171.0616,171.6299,-2.0143,88016443,173.1592143,1
"11,2,2022",171.8393,172.5872,167.5615,168.1598,-3.6795,93223832,172.1654857,1
"14,02,2022",166.8935,169.0972,166.0858,168.3992,1.5057,85987949,171.6242286,0
"15,02,2022",170.4832,172.4576,169.7653,172.298,1.8148,62467548,171.6812,0
"16,02,2022",171.3607,172.8465,169.5658,172.0587,0.698,61077508,171.8079857,0
"17,02,2022",170.543,171.4205,167.9903,168.3992,-2.1438,69229966,170.9604143,1
"18,02,2022",169.3365,170.0557,165.7168,166.8237,-2.5128,82772674,169.6812143,1
"22,02,2022",164.5103,166.2154,161.6883,163.8521,-0.6582,90457637,168.5701,1
"23,02,2022",165.0687,165.6769,159.2952,159.6142,-5.4545,88340259,167.3493,1
"24,02,2022",152.1456,162.3863,151.5672,162.2766,10.131,140071076,166.4746429,0
"25,02,2022",163.3735,164.6499,160.4158,164.3806,1.0071,90836505,165.3435857,0
"28,02,2022",162.5957,164.949,161.9675,164.6499,2.0542,92550987,164.2851857,0
"1,3,2022",164.2261,166.1256,161.5088,162.7353,-1.4908,83063644,163.4760571,1
"2,3,2022",163.9219,166.8835,162.486,166.0858,2.1639,79505054,163.3706429,0
"3,3,2022",167.9903,168.4291,165.0786,165.7567,-2.2336,75286261,163.6427286,1
"4,3,2022",164.0217,165.0786,161.6385,162.7054,-1.3163,83212402,164.0843286,1
"7,3,2022",162.8949,164.5501,158.5872,158.8464,-4.0485,95869645,163.5943,1
"8,3,2022",158.3678,162.4162,155.3564,156.9917,-1.3761,129904038,162.5387429,1
"9,3,2022",161.0152,162.9447,158.9561,162.486,1.4708,90204656,162.2296143,0
"10,3,2022",159.7439,159.9333,155.5359,158.0687,-1.6752,100465687,161.5629571,1
"11,3,2022",158.4775,158.8265,154.0601,154.2894,-4.1881,95715216,159.8777571,1
"14,03,2022",151.0188,153.6812,149.6726,150.1911,-0.8277,107612320,157.6541,1
"15,03,2022",150.4703,155.1271,149.9518,154.6484,4.1781,91851992,156.5031,0
"16,03,2022",156.6028,159.5444,154.0202,159.1356,2.5328,101030439,156.5444143,0
"17,03,2022",158.1584,160.5416,157.1812,160.1627,2.0043,74392384,156.9974143,0
"18,03,2022",160.053,164.0117,159.3051,163.5131,3.4601,123247366,157.1441429,0
"21,03,2022",163.0444,165.8764,162.5509,164.9091,1.8647,89029269,158.1213429,0
"22,03,2022",165.0388,168.9376,164.4405,168.3393,3.3005,81343431,160.1284714,0
"23,03,2022",167.5117,172.1485,167.1727,169.7254,2.2137,97142423,162.9190857,0
"24,03,2022",170.5729,173.6442,169.7254,173.5744,3.0015,89638657,165.6228,0
"25,03,2022",173.3849,174.7809,172.2581,174.2225,0.8376,80281664,167.7780714,0
"28,03,2022",171.6798,175.2297,171.5103,175.1,3.4202,90059845,169.9119714,0
"29,03,2022",176.1869,178.5003,175.8379,178.4505,2.2636,97849001,172.0458857,0
"30,03,2022",178.0416,179.0986,176.1969,177.2638,-0.7778,89592832,173.8108429,1
"31,03,2022",177.3336,177.5231,173.9034,174.1128,-3.2208,99941081,174.6356286,1
"1,4,2022",173.5345,174.3821,171.4504,173.8137,0.2792,75755805,175.2196714,0
"4,4,2022",174.073,177.9818,173.9433,177.9319,3.8589,76204847,175.8421714,0
"5,4,2022",176.9946,177.7923,173.9184,174.5616,-2.433,70902999,175.8906143,1
"6,4,2022",171.8692,173.1356,169.6456,171.3408,-0.5284,88671014,175.3535857,1
"7,4,2022",170.6727,172.8664,169.3664,171.6499,0.9772,74944496,174.3820714,0
"8,4,2022",171.2909,171.2909,168.7182,169.6057,-1.6852,76189295,173.2880571,1
"11,4,2022",168.2296,168.5487,165.0288,165.2781,-2.9515,71545073,172.0259571,1
"12,4,2022",167.5416,169.3863,166.1655,167.1826,-0.359,78986591,171.0786571,1
"13,04,2022",166.9134,170.553,166.2952,169.9148,3.0014,70185112,169.9333571,0
"14,04,2022",170.1342,170.7824,164.5701,164.8194,-5.3148,75329376,168.5416143,1
"18,04,2022",163.4533,166.1241,163.1043,164.6,1.1467,67372249,167.5786429,0
"19,04,2022",164.5501,167.3422,163.4433,166.9234,2.3733,67422765,166.9034286,0
"20,04,2022",168.2795,168.3992,165.6271,166.7539,-1.5256,67718110,166.4960286,1
"21,04,2022",168.4291,171.0416,165.4376,165.9462,-2.4829,86931211,166.5914714,1
"22,04,2022",165.986,167.3919,161.0402,161.3293,-4.6567,84168799,165.7552857,1
